Url,Type,Title,Publisher Place,Publisher,Date,Authors,Volume,Language,Pages
https://www.biodiversitylibrary.org/page/53264306,Serial,Arnoldia.  ,"Jamaica Plain, Mass.,","Arnold Arboretum, Harvard University",1979,Arnold Arboretum.       ,v.39 (1979),English,Page 241
https://www.biodiversitylibrary.org/page/41222081,Monograph/Item,Atlante botanico; secondo il sistema naturale di De Candolle; 85 tavole miniate con testo esplicativo ridotto a dizione italiana da Giovanni Briosi.  ,Milano :,"Ulrico Hoepli,",1886,"Candolle, Alphonse de,      1806 -1893",,Italian,Page 243
https://www.biodiversitylibrary.org/page/49992513,Monograph/Item,Atlas der officinellen Pflanzen .../  ,Leipzig :,"A. Felix,",1891,"Schumann, K.     (Karl) 1851 -1904",,German,Page 52
https://www.biodiversitylibrary.org/page/57263194,Serial,Australian garden history: journal of the Australian Garden History Society.  ,"[Bowral, N.S.W.] :","Australian Garden History Society,",2006,Australian Garden History Society       ,v.17:no.3 (2005-2006:Nov-Jan.),English,Page 9
https://www.biodiversitylibrary.org/page/4985674,Serial,"Beihefte zum botanischen Centralblatt. Erste Abteilung, Anatomie, Histologie, Morphologie und Physiologie der Pflanzen.",Leipzig :,"Verlag von G. Thiem,",1904,,v.31 abt. 1-2,German,Page 524
https://www.biodiversitylibrary.org/page/39585380,Monograph/Item,Bibliography of cultivated trees and shrubs hardy in the cooler temperate regions of the Northern Hemisphere.   ,"Jamaica Plain, Mass.,","Arnold Arboretum of Harvard Univ.,",1949,"Rehder, Alfred,      1863 -1949",,English,Page 587
https://www.biodiversitylibrary.org/page/5286274,Monograph/Item,Botanisches Handbuch zum Selbstunterricht fuÌˆr deutsche Liebhaber der Pflanzenkunde uÌˆberhaupt.  ,"Magdeburg,","Heinrich,",1824,"Koch, Johann Friedrich Wilhelm,      1759 -1831",th. 1,German,Page 527
https://www.biodiversitylibrary.org/page/22915531,Monograph/Item,"The British flora medica, or, History of the medicinal plants of Great Britain /  ",London :,"E. Cox,",1838,"Barton, Benjamin H.     (Benjamin Herbert)  ",2,English,Page 63
https://www.biodiversitylibrary.org/page/343042,Serial,Bulletin de la SociÃ©tÃ© botanique de France.  ,Paris :,"La SocieÌÅteÌÅ,",1913,Centre national de la recherche scientifique (France)       ,v.60 (1913),French,Page 535
https://www.biodiversitylibrary.org/page/29406691,Serial,Bulletin de la SociÃ©tÃ© botanique de France.  ,Paris :,"La SocieÌÅteÌÅ,",1922,Centre national de la recherche scientifique (France)       ,v.69 (1922),French,Page 27
